1: Wie haben sie geplant zu transkribieren | start: 0.0 sec., end: 8.6 sec.
1: Didi? Obi sowas nutze ich möchte nur nichts bewusst machen, was halte ich davon aus objektiven Zugang macht, vielleicht wenigstens, dass sie mit meiner Frau gemeinsam zwei Autos vor der Tür stehen haben die ganze Zeit auf mein Auto genau 0 km drauf, weil weil der Sonnenseite denke mein Sohn denn jetzt aber wenn mann Frau bearbeiten im Samstag in die am Freitag Vormittag den Luxus haben wir in Ruhe Kaffee zu holen, dann will ich nicht riskieren jetzt vielleicht wenn die mir meine Kollegin will, z.b. Ich das Ganze anders Thema als da wo die Das Interesse an an solchen Gefährten Sachen immer bleiben als mittelbarer konkrete bei transportation z.b. Bei der interessanterweise ist schon zwei Jahre her, aber Diskussion gehabt für einen kleinen sehr kleinen Gruppe einen Raum so 5-6 Haushalte praktisch. Hey, was war denn wenn wir uns gemeinsam also Elektroauto herstellen würden so als Zweitauto für jeden na, ja, dann hast du wieder versichern und die Idee kommen klappt dann wenn wenn ihm was leisten, dann sage die convenience hatten entsprechenden Wert, also übermorgen. Finde es so cool cool. Wenn jetzt aber sag, ich habe Anbindung in die Stadt mit der U-Bahn. Muss sowieso alle 10 Minuten was geht an, wenn ich das Glas besonderes und die muss ich habe mich selber dazu gezwungen jahrelang mit meinem Auto gepennt und bin dann Korona zwei Wochen dauert und dann hast du in das Gebot des Bastes habe ich sinnvoll gefunden der Nachhaltigkeit verstecktes heute einem finanziellen Aspekt, das ist ok Scherz Siemens AG schwierige Clubmagazin Aspekte conveen ist dabei nicht unterschätzen ist trotzdem noch sein | start: 2384.9 sec., end: 2554.8 sec.

2: perfekt. | start: 2551.9 sec., end: 2556.1 sec.

1: Also ich suche schon in Deutsch Tiefe ja, also objektiv denken bei Spektive Ajani mal vorstellen, weil sie sich nicht um zu Sixt waren am Sitzplatzangebot oder ja genau in diese Kerbe schlagen oder pay-per-use, es gibt schon mal für Autos mit Versicherung mit Anmeldung mit allem Drum und Dran, das hat mir die Nase Erkältung. | start: 2554.8 sec., end: 2584.9 sec.

2: Gibt es im ganzen Themen begebt übertreibt manchmal Regionalität vielleicht direkt beim Sitzen noch mal angesprochen haben oder auch Technologisierung irgendwas was ihnen nur dazu einfach ungesagt ist, viele | start: 2583.9 sec., end: 2605.8 sec.

1: viele Regionen immer, wenn du glaubst der Weisheit letzten Schluss zu gibt, weil er einfach so viele scheitern sehen. Hab gesagt und natürlich jetzt dann wieder aufblühen mit Didi developments mit digitalen Währungen im Moment wieder genau dieses Thema Blumen und jetzt gleich dann vielleicht die nächste Blase und unsere Währung und hin und her und sowieso ja jemand, wenn die Zentralbank diese Welt einfach Geld nachdrucken können ich vielleicht gar nicht die beste Idee. Ja, aber man wenn die doll ist und dafür hat das dann hat die entweder dauerleecher oder hat einfach immer die Zeit mit mir zu telefonieren, weil er ganz schöne eigene Insel inmitten in der Vergangenheit viele Sachen die einfach schreiben und ich glaube es halt öfter mal eben, die sind super was machen. Ich brauche das ist in den Trailer, was Negativbeispiel haben, die 6. Phasen zumindest Laviva | start: 2603.9 sec., end: 2687.6 sec.

2: Schuhspanner. Ja, dann will ich sagen, dass ich bin mit meine Fragen soweit durch den vielen Dank für die Zeit und nur irgendwas dazu ein Volk bitte sehr gern. Irgendwas ist wenn sie über irgendwas stolpere, was sie so denken, okay Jahres könnt ihr das ballenberger schicken gerne. | start: 2687.1 sec., end: 2708.3 sec. END

