2: danke | start: 0.0sec., end: 6.2sec.
1: Digitalisierung Technologisierung in Verbindung bringen macht man gerne danach aber gutes Stichwort, weil ich habe jetzt noch nichts vor Bereiche dieser besprechen wird. Das erste war wirklich in Hinsicht auf die Digitalisierung und die Technologisierung zwar immer wieder schon ein bisschen eingebracht, aber welches Potential singt sie in der Technologisierung hinsichtlich unsere Gesellschaft oder auch zeigt Banken gibt so irgendwas, wo man die Digitalisierung nutzen kann, oder muss vielleicht nach Grenzen gibt. Biofinity kreativ gerade erwachsen und fragt daneben gezielt in einer Nachricht alles geklappt, bei Banken kann man Therapeut angefangen zu nutzen und andere Konto Führungen digital Kopf und es gibt der diese Open-Source-Software, mit, der des anscheinend recht | start: 2394.7sec., end: 2482.9sec.

2: einfach und | start: 2481.1sec., end: 2484.6sec.

1: einheitlich gemacht werden soll. Also, da hat man dann irgendwie ja schon so forderte. Ja, das macht es richtig Kommunikation einfacher, was sehr Wichtiges für | start: 2483.1sec., end: 2509.0sec.

2: Rezept Banken andererseits ist es Wetter | start: 2507.7sec., end: 2517.5sec.

1: am Mediator, der vielleicht das soziale irgendwie aber | start: 2514.7sec., end: 2521.5sec.

2: er sitzt oder heute verhindert dann | start: 2519.9sec., end: 2527.0sec.

1: aber kann natürlich auch Leute zusammenführen, dies der unter reparieren damit | start: 2524.5sec., end: 2535.3sec.

2: überschreiten können. | start: 2533.3sec., end: 2539.1sec.

1: Die Millennials D-Juniorinnen telefonieren müssen heute Zeit Bank Broker anrufen und irgendwie from UPS Wien, ob der Wind der mir irgendwie treffen kann, sondern kann jetzt aber auch in der App auf den Marktplatz schauen und meine Anzeigen Wochen bis | start: 2538.0sec., end: 2558.4sec.

2: ist erleichtert es wahrscheinlich schon | start: 2558.0sec., end: 2566.2sec.

1: und vielleicht dafür ältere Menschen oder wenn wir sie sagen ja die Bullen die dumm liegt Hilfe annehmen eben in einer bestimmten Generation drinnen das Body bei einfacher ist, dann wieder eine Herausforderung dar und sind wahrscheinlich drauf an, wie alt die älteren Menschen sein oder Madrid. CD um Hilfe anzunehmen. Ja, wie wäre es gut, wenn sie ihn selber das Gefühl haben, das ja noch was geben können. Bzw. Das machen ja manche zeitbanken bekommen, sehr Gutscheine Kopf darum ja, dann ist es dann wirklich extrem einfach sein, damit die heute Verdi lernen ja, dann nur wieder mit einer bestimmten App um Geld, die müssen vielleicht das ganze Smartphone wärmer oder das ganze Tablet erstmal in den Umgang, damit damit Leon an der Saale setzte navigieren indem spezifisches die jemand anderes erzählt irgendwie so allgemein die Technik selber Nummer wirklich funktionieren auf Herz und Nieren getestet. | start: 2562.1sec., end: 2657.2sec.

2: Du dumme Ding da | start: 2656.5sec., end: 2660.5sec.

1: Version Server oder drei Wochen riesen Abstürze und jeden Tag hängt irgendwas, also das ist wäre tödlich. Glaube, | start: 2657.9sec., end: 2672.3sec.

2: dass | start: 2669.3sec., end: 2675.0sec.

1: die Projekte eventuell muss eigentlich funktionieren würde, wo du dein eigentlicher Nutzen kosten würde und dann ist essentieller Entwicklungsschritt irgendwie nicht abgeschlossen werden und das ist verdammt | start: 2672.3sec., end: 2691.7sec.

2: traurig, | start: 2691.1sec., end: 2694.6sec.

1: aber dafür geben heute eigentlich meistens auch das System funktioniert, wann willst du über sowas reden, aber sie haben jetzt gerade angesprochen eben das meines älteren Personen lernen muss, da würde ich ja nur andere Frage besprechen, wo Wie stehen Sie zu der Aussage, dass jeder des lernen muss wird die Gesellschaft braucht, das ist mir zu vage die Aussage. Da weiß ich nicht genau, was hast du mit Marlis, wir brauchen noch vorwiegend Programmierer Programmierer werden und es dir keine Künstler mehr geben, weil das Conny künstliche Intelligenz z.b. Machen, aber so viele Ausbildungsplätze in die Richtung gibt und das muss uns aufteilen. Sowas gibt's im Kino. Ja, wirklich, also anscheinend, dass man das irgendwie durchsetzen, aber | start: 2691.7sec., end: 2792.2sec.

2: der Preis der mündliche Preis ist wahrscheinlich relativ hoch und | start: 2789.7sec., end: 2799.0sec.

1: man kann er sich ja nicht in Österreich angelt nicht durchsetzen und werde dich immer so | start: 2798.3sec., end: 2806.8sec.

2: so | start: 2804.0sec., end: 2806.9sec.

1: so Anstöße gibt's irgendwelche Orchideenfächer zu zu beschränken und immer wieder zu diskutieren, ob warum die finanziert werden und man muss ja irgendwie die Leute in die in die Technik treiben Weidewirtschaft, das braucht | start: 2806.8sec., end: 2831.6sec.

2: diese Person kürzt, | start: 2827.0sec., end: 2835.1sec.

1: das hat das. Dann bestimmte Kompetenzen dem seid immer jung für Adam sollte ja weil ich glaube ja, das sind fundierte naturwissenschaftliche Bildung wichtig wäre oder so oder heute. | start: 2833.8sec., end: 2861.8sec.

2: Sozial soziale Kompetenzen, die man | start: 2860.2sec., end: 2865.7sec.

1: im selben Ausmaß fördern sollte nicht das mit der positiv zu dem Satz | start: 2864.0sec., end: 2877.1sec.

2: überlegen, was die Gesellschaft braucht verschiedene Meinungen zuzulassen und | start: 2873.7sec., end: 2890.1sec.

1: wieso willst dann kann Gewinner geben | start: 2887.2sec., end: 2893.9sec.

2: oder nicht? | start: 2891.5sec., end: 2897.1sec.

1: Eine letzte Frage gibt es hinsichtlich der Technologisierung Digitalisierung als ich bestimmt seine Chance auf sonstige irgendwas passieren aufmacht in Bezug auf die Gesellschaft oder in Bezug auf sonst irgendwas. | start: 2894.0sec., end: 2934.7sec.

2: ja, diese | start: 2920.2sec., end: 2945.9sec.

1: diese Macht die die sozialen Medien, um unsere Aufmerksamkeit zu kontrollieren und das was wir da eigentlich die Informationen, die wir konsumieren zusteuern des Macht mich schon macht mich schon nachdenklich und das ist jetzt anders rum halt, dass ich sagte, danach immer wieder merkt ja stundenlang aber irgendwie gescrollt und eigentlich ist es gar nicht jetzt. Rufe niemals drüber noch doch du mit diese Informationen jetzt interessieren | start: 2942.3sec., end: 2998.0sec.

2: und das | start: 2995.6sec., end: 2999.7sec.

1: da heute im Hintergrund was für me in Wien at 100% nachvollziehbar ist, | start: 2998.3sec., end: 3010.1sec.

2: sowas geben | start: 3005.9sec., end: 3012.1sec.

1: gesteuert berechnet wird. | start: 3010.9sec., end: 3015.6sec.

2: Wie wird | start: 3013.9sec., end: 3016.0sec.

1: das Wetter in für Auswirkungen Horror | start: 3015.8sec., end: 3019.0sec.

2: wo sie denkt sie kaufen perfekt danke schön | start: 3017.2sec., end: 3026.5sec.

1: gibt's ne irgendwas, was dir einfällt um zu alte Themen, was mit angesprochen haben. | start: 3025.7sec., end: 3035.5sec.

2: Ja, | start: 3031.4sec., end: 3037.2sec.

1: vorher braucht was Wäsche Bereich oder wie ist der Branche, dass sie glaubt, dass man nicht digitalisieren kann man textbook Antwort gegeben, aber ich glaube es gibt nur Anna und das war heut die Bildung online learning und so gesetzt, aber ich finde die Vermittlung durch alle Personen und den Austausch mit einer Lehrperson Englisch essentiell. | start: 3035.5sec., end: 3074.3sec.

2: In | start: 3073.9sec., end: 3079.2sec.

1: Kunst Kunst müssen wir natürlich geht natürlich | start: 3074.3sec., end: 3088.3sec.

2: gerne mitgemacht. Sonst | start: 3083.7sec., end: 3098.3sec.

1: so, dass sie immer noch von den Projekten ja ist doch jetzt mal ganz kurz Chris, lass uns lass es mal lassen, weil es kann auch sein, dass dann und dann auch mal irgendwie guter ihm ja, also grundsätzlich meine Idee dahinter jetzt fangen. Mein Prof ist 78 mein Prof zu kommen. Habe ihm gesagt, wie wird gern was mich so zu ökologischen Bereich schreiben, weil mir das Thema sehr interessiert und wenn ihr jetzt nicht die typische Decke sein Studentin, bin die Programmierer für Kissen sonstiges sondern gibt es nur gemacht, weil ich bin im IP-Bereich leid einige Projekte und die will immer nur besser verstehen und heute bestehen. Ok, welche Trends gibt es wie kann man es auch so finden und so weiter, dann hat er zu mir gesagt gehabt eine Masterarbeit letztes Jahr betreut, die sehe damit beschäftigt hat, welche Parameter eine Zeit Bank braucht, damit sie mehr genutzt wird in Form eines winforce mit Learnings und darauf aufbauen, können Sie mir halt eben mit asozial komischen Komponente beschäftigen, wie sieht es also, wie zeigt man schon aktuell funktionieren? Aufgrund der Technologisierung zunehmende Technologisierung wäre es interessant sie erstens mal anzuschauen, wie ist es aktuell in Österreich überhaupt? Zweitens ist geht ihr immer mehr getrennt, dazu jetzt befördert durch Corona weniger zu arbeiten bzw. Gezielter zu arbeiten flexibler zu arbeiten und dann gibt's dann eben halt nur den großen Aspekt des sozialen und es gibt halt gewisse Bevölkerungsschichten, die heute mit arbeitslos arbeiten will, die sie halt daneben sozial engagieren und dadurch dass sie heute vielleicht weniger Einkommen haben oder hat es unbedingt brauchen oder auch keine Möglichkeit dazu haben aufgrund ihrer Bildung, dass die dann die Möglichkeit haben Überzeit Banken in einem Gesamtmodell der Zukunft sozusagen halt doch ihr Leben zu verdienen oder halt ihr Leben zu lassen, Lebenswerk zu machen einerseits durch den sozialen austauschen. Andererseits soll durch den 2. Und dass wir dann wieder zurück kriegen, wenn sie es haben speziell dabei an, weil wir haben ja in Österreich eine hohe Dichte an ehrenamtlichen Tätigkeiten, was aber meiner Meinung nach eben wieder gangbar andere Gesellschaftsschicht ist, als die die Zeit mag, nutzen, aber trotzdem ein bisschen gegenüber und versuchst zu kombinieren. Vor allem, wenn man dann in den größeren Aspekt sieht, weil das einzige was funktionieren kann und da wird sein eben auch schon mit einer einigen zeitbanken Männern gesprochen bzw. Auch mit Leuten, die sie schon langjährig damit beschäftigen oder ohne hat eben viele Ärzte die Zeit Bank als vierte Säule der Alters economy Deutschland geschrieben. Mit dem habe ich Greta Kimberly immer wieder auf seine Zeit. War nur im regionalen Kontext bestehen und jetzt wär halt meine Idee eben mit die Open-Source-Software, wie z.b. Sei groß oder sonstiges ein. dezentrales System aufzubauen mit einem gewissen Vorschlagswesen Dessert einerseits Personen, obwohl sie sich nicht trauen um Hilfe zu fragen und andererseits halt wirklich aus Personen heraus bringt, was Sie anbieten können, weil die Mahlzeit man Vorarlberg oder ist dann Elsa Land Vorarlberg hat das Neu-Ulm Fragebogen, was sie ihm dort zur Verfügung stellen in die Richtung, ich glaube, dass wenn man wirklich alles was es da gibt, zusammenfasst und Technologisierung und Technologie an sich macht verloren fachadas zu verbreiten, das zu vermarkten des aufzustellen und auch einfacher in der Verwaltung, weil die großen zentralen Probleme sind immer die Verwalter die Organisation und beträchtliche und je größer das kannst du aber ist sie größer wie sie richtige Größe, der Druck ist, desto mehr muss gemacht werden auf politischer Ebene und das heißt wenn man da jetzt Sagen kann ok, ich habe ein Modell, wie zeigt man kennt dezentralisiert zusammen vereinen kann und auch ein Austausch der Stunden überdies hinaus stattfinden kann und wir erstens das Problem des Wegzugs und der Todesfälle und sonstiges auch gelöst, weil er kann ja sie alles Rahmenbedingungen schaffen und zweitens ist auch ein Austausch in sogenannten monetäre System unermüdlich und wenn wir heute größer ist und für eine bestimmte Personengruppe kommuniziert wird und nach aufgestellt wird, dann kann dies ja direkt vom Staat aus subventioniert werden, ohne dass du es irgendwie steuern auf das anfallen und dann muss man halt wirklich Sorgen eben. Es gibt verschiedene Gesellschaftsschichten, wo man das einbauen kann und deswegen hat er eben politischen religiöse Ansichten, weil es halbwegs schon was damit sind, da wo man sich befindet sich bei mir, ich bin jetzt Ich bin jetzt alleine einem Talente Netzwerk beigetreten und mir das Ganze anzuschauen, aber für mich ist es halt so, bevor ihr jetzt da irgendwie froh, mit dir was machen können, aber ganz viele Freunde und Bekannte oder sonstiges oder bin halt dann schon als sie merkst du mir selber. Bin jetzt schon gewählt dann eher Geld dafür auszugeben, weil ich es mir leisten kann, das professionell machen zu lassen, obwohl das überhaupt nicht der Fall ist, weil die ja alle entweder das schon beruflich gemacht haben oder immer noch machen oder sonstiges und deshalb zusätzlich Tee anbieten und das halt eben soeben, der mindset change, womit dann immer so bisschen die Gesellschaft hiermit eine bringen will und das alles nur und deshalb 80 bis 100 Seiten niedergeschrieben, schauen wir mal, dann kriegst du | start: 3093.8sec., end: 3487.0sec.

2: ja | start: 3485.2sec., end: 3487.2sec.

1: oder auch trinken. Song ich bin jetzt 35 bis 40 geschrieben. Hab dann irgendwann aufgeben, weil wenn man auf Woche Arbeit berufsbegleitend studieren berufsbegleitend in ersten meine Stunden reduziert, aber das geht ja nicht immer hundertprozentig und jetzt habe irgendwie interessant, weil die dort wo ich hin will und die Theorie schreibe ich heute noch so wie der nähe drei Wochen Urlaub wohl alles zusammenfasst und eben also programmiertechnisch T-Modelle aufbauen will wie das Ganze auch schon konnte helfen halt eben die Interviews aus invotis zu validieren im Prinzip behalten deswegen weil gewisse Aussagen als Expertenmeinung werden kann und gewisse Aussagen dann halt wirklich eben alle aus auch als persönliche Meinung und deswegen wir immer versuche immer so bisschen See. Witch Trainer zu haben, was ist jetzt wirklich persönlich, was ist jetzt wirklich aus ihrer Erfahrung heraus und so weiter, damit man es halt so nutzen kann. Ja | start: 3487.0sec., end: 3569.2sec.

2: cool, | start: 3562.4sec., end: 3571.9sec.

1: also weiß ich noch was einfällt und ich war selber jetzt wie das funktioniert. Ja, ja, weil du Anfrage Kommunist und denen wir dann ist ja gedruckt schreiben wir ihn aber die waren dann nicht mehr interessiert, aber wir sie mal Diana abzufangen, weil sie hat schon Zeitbanken Experten, ich habe ar-technologie Experten, aber immer in dem Zusammenhang R17 meine Massage zu eine geschrieben immer in dem Zusammenhang, ich kann nicht alles abbilden einem Experten, aber ich kann trotzdem was abfragen und da jeder von uns ein potenzielles Mitglied von Zeitbank Nest von der sein mein fahren | start: 3569.2sec., end: 3639.7sec.

2: bin ich gespannt | start: 3634.3sec., end: 3644.3sec.

1: das aufbauen oder Dezember 2 Studium angefangen in Wirtschaftspädagogik Bildung und Didaktik und der Lehrer als Person ist ins ist wichtig, wie das ausgehen, weil sonst kann irgendwann uns arbeiten lassen und das brauche ich noch. | start: 3640.2sec., end: 3675.3sec.

2: Ja, bin gespannt, aber so | start: 3673.8sec., end: 3678.4sec.

1: dass du jetzt nicht super machst du aber ich hoffe, jetzt habe ich Stress. Kriege jetzt schon, jetzt habe ich drei Wochen Urlaub, sonst sollten funktionieren, vielen Dank auf jeden Fall für die Zeit und im Wixxer falls Ihnen nur irgendwas dazu einfällt oder so, aber ich bin für jeden Link dankbar und ich schicke ihn dann danach fuhr, also bei dir alles eingepackt habt wie es ungefähr ausschaut und | start: 3678.1sec., end: 3717.3sec.

2: wir | start: 3714.1sec., end: 3720.8sec.

1: müssen Bussi zurück, das freut mich, dann freue ich mich darauf von Ihnen zu lesen. Ja, danke, alles Gute und danke, danke schön, danke und schönen Abend noch ebenso. Danke ciao. | start: 3717.3sec., end: 3742.3sec. END

