2: Rechnung ist noch ausstehend sie schon ja jetzt | start: 0.0sec., end: 8.9sec.
1: dadurch, dass wir die ganzen sozialen Medien haben, die ja so ein bisschen auf psychologisch die die Sucht, was gibt es Neues, was machen andere so die Identifikation diese in out group, also die Pierrot die Bezugsgruppe letztendlich auch findet immer mehr ja im Smartphone in den Apps letztendlich auch statt. Es geht auch häufiger mehr in atok Verabredung Unverbindlichkeit auch mit rein Kurzfristigkeit, damit lassen sich auch gewisse. Was ist Wirtschaft 2 oder Sachen schwer planen, wenn das alles mal kurz so auf schnipsen passieren soll und das führt halt aber auch dazu, denke ich, dass ich glaube, das war denn das war das die Shell Jugendstudie irgendwo war eine Veröffentlichung, da ging es nämlich auch da drum, was die Jugend soziale Interaktion und da hat man einfach mal getestet, was ist denn so mit der Generation Z letztendlich und hat sie in ein Setting halt reingesetzt, wo sie dann mit Gleichaltrigen irgendwo interagieren müssten mussten und man einfach merke so die Sozialkompetenz, also klar ist die Schule noch mit da, aber sie ist nicht mehr in die Wiege gelegt. Man wächst an das auf die sind super kompetent in sozialen Medien und anderen Sachen und da denke ich könnte eine Herausforderung für die gesamte Gesellschaft in unserm ja ein Kontinent. Europa Amerika Song im Sprachbereich mehr sein als Asien, da ist ja Familie immer sehr hoch an aufgehangen und Mehrgenerationenhäuser, da trifft es vielleicht nicht so zu der gabs auch immer wanderarbeit und Familien waren getrennt, aber jetzt bei uns angelsächsischer Raum und Europa denke, ich wird es ein Problem sein, der der Kontakt zwischen Jung und Alt also das da auch einfach dann so 80 Jugend war halt immer schon dachte Jugendarbeit, dass diese die Drift das Auseinanderdriften einfach noch größer wird und da wird sie mal wieder bei wer beim Thema sind Zeitbank auch eine gute Sache, was z.b. Kollektives Gedächtnis angeht, Erfahrung weitergeben andere Konstruktivismus andere Sichtwinkel einnehmen und Verstehen vielleicht, was du die alte Generation mit bewegt hat und man nimmt sich ja dann auch die Zeit weiß ja keiner gezwungen es zu machen und den Mann nimmt man da auch, glaube ich mehr mit und es könnte gleich. Hatte ich dazu beitragen auf die Gesellschaft diesen krassen dieses driften bisschen abzubremsen oder sogar bis Wiederannäherung zu machen, | start: 1923.6sec., end: 2098.9sec.

2: darf ich darin interpretieren, dass sie schon dass er etwas negativ sehen, dass die Sozialkompetenz immer weniger wird? Ja, ja, danke, dann bin ich leider gehen zur Bildung. Selbst es gibt ja diesen Ausspruch, dass man grundsätzlich in der Gesellschaft jeder sollte wissen lernen Gesellschaft braucht | start: 2095.9sec., end: 2131.1sec.

1: muss ich verneinen, also stehe ich nicht hinter. Es ist sicherlich aus, der jetzt ja aus der Präsenz Betrachtung heute sinnvoll zu sagen. Ok, wo mangels was brauche ich jetzt allerdings werden wir Emmis Web eine Forscherin, die sich halt mit Zukunftsforschung beschäftigt. Sie sagt halt auch es gibt ja so ein Zeit Kegel, wo die Information rein Fliesen und um so weitergehen der Zukunft sind wissen wir gar nicht mehr, was tritt ein und welche Prognose ist richtig und wenn wir jetzt nur gucken. Was brauche ich und was das muss dann auch für die gesellschaftlich wichtig und wird voll sein. Dann würde würden keine Innovationen entstehen, dann würden keine neuen Denkmodelle so hätte man vor 20 Uhr, ich weiß nicht wie alt ist Facebook. Ich sag mal 20 Jahre brauchen wir in Facebook Ebertplatz soll ich denn da jetzt messages in dem Computer Kasten eben die haben, dass wir ja nichts geworden. So es ist halt jetzt endlich braucht man natürlich man braucht Gas. Wasserinstallateure man braucht diese ganze Grundversorgung. Man braucht auch Kaufleute im im Einzelhandel und Berater, aber ich würde mich von diesem Zwang lösen zu sagen, du musst das machen, was der Gesellschaften viel bringt, weil das was der Gesellschaft heute was bringen ist in drei oder fünf Jahren vielleicht schon überholt und wird die halt nicht mehr gebraucht und ist dann dass das Abstellgleis und dann wenn man Cookies auch schon Studien Digitalisierung welche Zweige werden wohl hinfallen und das So Sachen wie Finanzen Controlling. Steuergeschichte, das lässt sich Zuges in Zahlen, das lässt sich in einem Computer machen. Da braucht man weniger Steuerberater, eigentlich kann man was anderes überlegen am und da denke ich aber auch auch unser Bildungssystem und dann ganz kurzen hinter einzupacken. Da wird ja auch immer gesagt, ihr müsst Glas grundrechenart. Muss man lernen Grammatik Rechtschreibung, das sind halt fleischsack natürlich aber die ganzen Lehrpläne, ob man jetzt irgendwie Chemie oder andere Sachen klar auch wieder ne Grund ist, wie ein Haus bauen Fundament muss man haben, aber ich denke, dann sollte man halt auch die Freiheit geben sagen. Hey guck doch einfach mal, was gibt es was wird dich interessieren, was kann man kombinieren, weil aus diesem kombinieren deshalb hatte ich auch den Studiengang Sozialökonomie, weil es ist ja häufig so der BWL gegen den Soziologen, weil der sagt Gesellschaft ist das alles Mist und der BWL Asaad, aber fürs Unternehmen ist es wichtig und aber diese verschiedenen Blickwinkel auch dann zusehen und daraus kann Neues entstehen, also Bildungssystem müsste anders sein und auch einfach diese Möglichkeit zu sagen. Ja, ich identifiziere ich finde jetzt nicht das was wir Gesellschaft die sich denkt, vielleicht in Zukunft ist was anderes wichtiger oder das würde ich gerne ausprobieren | start: 2123.6sec., end: 2311.3sec.

2: System an sich und die vielleicht zu wenig vorhanden sind kurz angesprochen, dass der soziale Kontakt zwar schon in der Schule noch bisschen da ist bei den Kindern, aber das ist dann alles bräuchtest auch vielleicht mehr | start: 2303.4sec., end: 2331.4sec.

1: Mutmaßung, wo ich jetzt nichts ich denke, da ist nenne eine Kluft einfach, wenn man sich die die Lehrkräfte mitunter anschaut die vielleicht irgendwie noch mit einem Kurs oder sich so ein bisschen, ich sah mein Anfang sein halt herzlich Dummy. Beschäftigen, die müssen halt schauen, wie komme ich auf die Stufe meiner Schüler, also, wie erlebe ich erfahre ich und begreife was die machen, das man quasi seine eigene Kommunikation soziale Interaktion ausrichtet auf die Jüngeren auf der einen Seite, aber halt auch nicht sowas wie handyverbote Verbot ist immer schwer zu Firmunterricht. Das musste jetzt abgehen, dann nimmst du ja plötzlich soziale Kontakte aus der Hand auch irgendwie, ich wüsste jetzt nicht wie man bildungstechnisch was ist. Da was man machen könnte, ich wird's nicht als Fach oder sonstiges mache ich glaube das sind so Sachen die irgendwo beiläufig in Arbeitsprojekt Gruppen oder irgendwie ja schwierig das Bildungssystem Neues versucht sie auch immer zu finden habe ich da auch keine Lösung. Also sicherlich sollte man es irgendwie noch hin. Keiner Form fördern aber dass man jetzt keine Ahnung das Fach Sozialkompetenz und Interaktion oder hast du vorhin gehört, glaube ich ist zu weit, | start: 2326.2sec., end: 2420.3sec.

2: dann würde ich jetzt aber auch gleich über leisten zu ein bisschen anderes Thema, also nach der Ausbildung kommt ja im Prinzip auch der Beruf, wie sieht für sie aktuell ein vitales Unternehmen aus, | start: 2416.4sec., end: 2436.0sec.

1: was verstehen sie unter | start: 2433.7sec., end: 2444.3sec.

2: gerne erarbeiten? Es ist zukunftsfähig ausgerichtet. Vor allem jetzt auch in Corona, dass es sich eine Logik technologisch zumindest Homeoffice und eben wie die angesprochenen 67 Arbeitszeiten sowas ermöglicht oder gibt es vielleicht in der ganze andere Richtung, das muss Akku Case muss schon 20 Jahre alt sein, also 40 50 60 70 oder 100 Jahre Nachricht? | start: 2436.7sec., end: 2468.4sec.

1: Kann man nicht pauschalisieren, also, dafür geht's halt einfach auch zu viele Unterschiede in den Bedürfnissen eines jeden Menschen der eine der sehnt sich nach Sicherheit regelmäßigen Einkommen und Planbarkeit. Der sagt okay, ich gehe in die Behörde. Ich erstrebt irgendwie in der Beamtenlaufbahn höherer Dienst an. Habe einen Tarifvertrag und weiß dann dass ich alle 18-24 Monate dann die Stufe ich habe Tarifverträge etc. Dann geht's Junge oder auch ältere Menschen sehr muss man nicht am Alter Festmahl. Es gibt Menschen, die sagen ich möchte immer das gleiche stupide nach Schema F und Vorgaben, ich will das Unvorhersehbare haben, ich will ein Startup, weil da ist heute ist toll und wir haben van den gekriegt und eine Unterstützung und Invest und morgen ist es schiefgegangen und übermorgen sind wir pleite oder wir sind das neue? U-Bahn oder Airbnb was auch immer und deshalb ist das schwer zu sagen, das musst du uns so lange bestehen, was ich denke, was wichtig ist, ist dass das Unternehmen egal ob Behörde klein mittleres großes Multi internationaler Konzerne muss eine Vision haben, als er muss ein Fixstern irgendwann für meinen and haben wo er sagt, da würden wir gerne hin klar zum Stern wird man nie erreichen, aber es gibt eine Richtung vor an, der man sich orientieren kann und wenn das Unternehmen das noch schafft, das ganze Handeln und dessen Produkte und die auf die Unternehmenskultur die auf der einen Seite ja vorgegeben wird, aber die ja auch von den Mitarbeitenden vor Ort selber weiterentwickelt. Wird, einen solchen Rahmen Bilderrahmen schafft das der Fixstern noch Sinn und Zweck des Wirkens gibt warum ich das Mache wofür ich das mache und ich gleichzeitig selber auch für mich profitiere und das heißt jetzt nicht. Monetär, indem ich ein hohes Gehalt habe oder wohnstatus, das kann für die eine natürlich wichtig sein, dass das wär ja auch wieder dann für eine andere Firma, wo Kira ja große herreichen sind, Banken Finanzmanagement Investment das da sieht das vielleicht jemand hin, aber genau nicht das was man macht, dass es am Ende der der Output der outcome sogar in dem Fall die Wirkung richtig ist, | start: 2466.7sec., end: 2634.8sec.

2: weil das jetzt so sehen ok visionist mal das was wirklich oben stehen muss kann man das vielleicht das so einteilen ok, es gibt Unternehmen die Technologie. Sind Unternehmen die es nicht sein müssen, | start: 2624.7sec., end: 2655.7sec.

1: das ist genau wie die Frage mit Führung. Nee, das ganze agil keine Führungsstruktur mitmachen, agile Teams, die sich selber führen und verwalten entsprechend der Unternehmenskultur und Leitsätze, das sind die einzigen Leitplanken in dem Unternehmen. Das mag ich weiß es nicht. Es ist ich glaube Holland, da ist eine häusliche Pflege, die haben es halt genauso gemacht, weil sie das haben wir wollen nicht zentralisiert. Das ganze machen soll der dann blockchain Ansatz und wir haben vor Ort Teams regional, wo ist teamrunden gibt es wird letztendlich demokratisch abgestimmt Unentschieden und da ist dann auch klar, dass Standort a anders arbeitet als B, weil das halt einfach das Einzugsgebiet erfordert die Umwelt, die dort ja Kunde dann auch ist. Digitalisierung Fiesta Randreiniger so ich denke es gibt du rufst oder Unternehmensfelder, da kann man das gut machen in anderen nee, das ist halt man kann ich sagen in 20 Jahren ist alles digitalisiert, jede Firma und dies nicht ist die ist weg vom Markt, also dafür gibt es einfach noch zu viel Handarbeit, | start: 2650.4sec., end: 2734.9sec.

2: wie stehen Sie zu dem Thema sharing economy, | start: 2730.6sec., end: 2739.5sec.

1: wenn sie richtig gemacht ist und nicht eine Nebelkerze um entsprechend der Nachfrage am Markt etwas schön zu verkaufen so schwierig Sache im Vergleich wie Greenwashing. Ja, ich mache das Label drauf. Hey sharing economy wir teilen unsere Autos mit einem und dahinter stehen dann BMW und Mercedes als Beispiel. Cartogo haben Sie auch schon gehört. Schernau jetzt ja, was haben die gemacht, die haben Einmal ihre Zulassungszahlen der durch geputzt und auf der anderen Seite durch die Elektroautos, die drin sind halt ihren CO2 Vorgaben erfüllt oder runter gedrückt, dass sie näher ran kommt. Ja, es bringt was ich nutze es auch und habe kein eigenes Auto da aber oder das Beispiel Uwe nee, quatsch nicht über Airbnb, da hat jemand zur richtigen Zeit etwas erkannt, aber letztendlich ist es unter dem Deckmantel, der sharing economy aber ein knallhartes biznis, wenn man auch so liest, was so mit Vermietern passiert oder Uwe genau das gleiche die Fahrrad im Auto übernachten, weil sie da dann noch die Provision abzahlen müssen und so. Ich denke, wenn es wenn es ehrlich ist und beide Seiten partizipieren, dann ist sharing economy eine super Geschichte. Man, darf er doch nicht vergessen, es gibt ja auch genug an mal private kleine Vermieter die ja auch sharing economy betreiben, wenn ich meine Bohrmaschine an der Nachbarn Verleihe, der mache ich auch sharing-economy dafür kriege dann demnächst da geht sogar, wenn ich backe oder so, aber sie verstehen, worauf ich hinaus möchte, also es ist häufig wird halt einfach das Label drauf geklebt, damit es sich verkauft und ja, es gibt einen Verein hatte ich auch gesehen. Die prüfen das also die Zahlen Zertifikat aus was so die Nachhaltigkeit auch angeht angekommen und da ist zB und guter Ansatz, wenn der sharing economy wirklich als Genossenschaft geführt wird, weil dann ist es halt gewinnen. Erwirtschaftung ist für die Genossenschaft bleibt in der Genossenschaft ist für die Mitglieder von den Mitgliedern und ist dann quasi so ein eigener Mikrokosmos auch, dann ist es eine ehrliche sharing economy. | start: 2737.0sec., end: 2888.1sec.

2: Allerletzte Frage, die gibt's hier sichtlich Technologisierung KI oder sonstiges irgendwas was Ihnen persönlich Angst macht, | start: 2886.5sec., end: 2904.2sec.

1: ne? DVD die Frage ist immer hat der Mensch am Ende überhaupt noch einen Durchblick, was die Maschine macht, also nehme jetzt mal die KI, da ist dann der Konstrukteur des Softwareentwickler. Der macht denn die Blackbox wo er welche Algorithmen ich damals wie eine Geburt eines Kindes man hat den Quellcode, der sich aber stetig immer weiter selber optimiert im Ziel am Ende und umso weiter. Diese Optimierung ist es dann irgendwann die Frage, wohin hat sich dieses Kind diese Blackbox entwickelt und was macht sie eigentlich noch und wie hängt das zusammen? Quantencomputer ist ja der nächste Schritt auch. Komm mit dahin, wo er jetzt im momentaner Informatik ist, es gibt 001 und entweder Strom fließt oder nicht. Fun Computer ist ja X Zustände, die das Objekt an sich haben kann und das ist so weit vom menschlichen wissen oder der Fähigkeit, also das Verstehen nur wenige hochspezialisierte Menschen und da habe ich so ein bisschen einmal bedenken, was passiert in den Geschichten und wo sind noch Sicherheitsmechanismen, die uns irgendwo schützen bestes Beispiel ist autonomes fahren, da ist ja dann auch die Frage, wenn es zu einem Unfall kommt, wer haftet dies ist der Fahrer hat er ist aber nicht gefahren. Das Auto ist ja autonorm gefahren. Ok ist es die Software ist es der Entwickler der Software oder sitzt der Hersteller des Autos? Es gab ein sehr spannendes Projekt, das läuft immer noch und zwar sind verschiedene Situationen sind Bilder. Sie fahren mit dem Fahrzeug, da gehen eine Familie über den Zebrastreifen, die sind Links quasi im Block und rechts sind ältere Menschen. Sie können nicht bremsen. Sie müssen jemanden umfahren, wem fahren Sie um so dieses Spiel in Anführungszeichen spiel, es war eine in der Forschungsgeschichte. Das perfide da dran ist, das wurde weltweit gespielt. Die Auswertung kann man auch online einsehen und letztendlich ist das die Grundlage, die genutzt wird, um die Software der Autos zu programmieren, wenn man dann sagt im chinesischen Bereich hätte man die Familie oder den die alleinstehende Person umgefahren, aber nicht die alten Menschen, weil die alten Menschen in der im gesellschaftlichen Kontext sind, wertvoll, die haben was erlebt, die geben was weiter diesen schützenswerter innen arabisch muslimischen Land müssen, die Kinder überleben. Die Mutter nicht Frauen sind nichts wert, so ist dann der contec. Es ist halt. Diese Aggregierung von Daten und das Zusammenziehen, dass man sagt so entscheidet das Auto sowas macht mir Angst, weil klar ist kann sich keiner nachher raus, wenn man sagt die Gesellschaft wurde gefragt. Die Gesellschaft hat beschlossen oder? Die hat ja das so und so eingeschätzt, aber wo ist da meine Einzelmeinung? Also, wo habe ich noch die Macht über das Handeln und wenn man es auf die Spitze treibt Sozialpunkte in China für Belohnung für gutes gesellschaftskonform Essverhalten und Bestrafung für das andere so, dass man nicht mehr zu fahren darf nicht fliegen darf oder gewisse Jobs nicht recht oder keine Wohnung mieten kann macht mir auch bedenken. Jetzt sage ich in Europa wären wir genug Gesetze haben, dass das im Keim erstickt ist so arm, aber das sage ich auch jetzt zudem Zeit und ich weiß nicht, was in 5 oder 10 Jahren ist, vielleicht ändert sich unsere Welt so hingehen, dass das plötzlich gefordert ist und alle wollen. Und da das ist halt dieses wie vor mit dem Zug kommst Richter Amy Web ist die Frage, das ist gar ganz hinten in 100 1000 km Entfernung Jahre noch entfernt, aber was kann daraus werden so und das ist diese diese Unsicherheit oder Unberechenbarkeit da dran, dass sie dieses auch vielleicht ich versuche auch in der persönlich selbst immer zu lernen zu hinterfragen, warum ist das so viel funktioniert, dass ich möchte es verstehen und mich hinnehmen und ich mache mir spätestens Sorgen, also ja, ich bin 38 km wollen im mittleren Alter da noch aber gerade noch ältere, die das nicht so gelernt haben immer lebenslanges Lernen oder dies vielleicht auch nachher nicht mehr verstehen und dann resignieren und seine das ist so oder das nutze ich nicht, weil ich verstehe es nicht und ich habe da keine Lust drauf oder mich damit das da könnte noch einiges passieren. | start: 2898.0sec., end: 3187.2sec.

2: Sehr sehr guter Info, danke schön, gibt's nur irgendwas, was sie hinzufügen wollen zum Thema zeitbanken Technologisierung Arbeitsmarkt alles. | start: 3186.4sec., end: 3201.8sec.

1: Denke eigentlich alles eingeschlossen soweit | start: 3201.1sec., end: 3204.7sec.

2: ja und jetzt noch mal bedanken, sehr gerne. | start: 3203.8sec., end: 3216.7sec. END

